VARIABLES=h, FDIFF, CMPLX
           1.000E-01     1.3110133778876940E-01     1.3098754146180244E-02
           1.000E-02     1.1806209130295918E-02     1.3225335363628628E-04
           1.000E-03     1.1686163790281983E-03     1.3226612951594016E-06
           1.000E-04     1.1674249882027949E-04     1.3226625675767773E-08
           1.000E-05     1.1673058017853202E-05     1.3226632906656942E-10
           1.000E-06     1.1672114989390913E-06     1.3228144819846554E-12
           1.000E-07     1.1873256962046012E-07     1.3366189067593834E-14
           1.000E-08     2.6001072298907434E-09     2.2250738585072014-308
           1.000E-09     1.9311678126820461E-08     2.2250738585072014-308
           1.000E-10     1.2953954432758517E-06     2.2250738585072014-308
           1.000E-11     1.0060109585960334E-05     2.1911785356711206E-16
           1.000E-12     5.3883680299382744E-05     2.2250738585072014-308
           1.000E-13     8.2258773396906549E-04     2.1911785356711206E-16
           1.000E-14     7.9421264087154164E-03     2.1911785356711206E-16
           1.000E-15     9.5589267835560238E-02     2.2250738585072014-308
           1.000E-16     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-17     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-18     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-19     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-20     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-21     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-22     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-23     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-24     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-25     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-26     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-27     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-28     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-29     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-30     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-31     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-32     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-33     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-34     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-35     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-36     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-37     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-38     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-39     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-40     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-41     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-42     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-43     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-44     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-45     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-46     1.0000000000000000E+00     2.2250738585072014-308
           1.000E-47     1.0000000000000000E+00     2.1911785356711206E-16
           1.000E-48     1.0000000000000000E+00     2.2250738585072014-308
