38   64
0.00000 -0.00000
0.00031 -1.60313
0.00063 -3.20625
0.00094 -4.80938
0.00125 -6.41250
0.00156 -8.01563
0.00188 -9.61875
0.00219 -11.22188
0.00250 -12.82500
0.00281 -14.42813
0.00313 -16.03125
0.00344 -17.63438
0.00375 -19.23750
0.00406 -20.84063
0.00438 -22.44375
0.00469 -24.04688
0.00500 -25.65000
0.00531 -27.25313
0.00563 -28.85625
0.00594 -30.45938
0.00625 -32.06250
0.00656 -33.66563
0.00688 -35.26875
0.00719 -36.87188
0.00750 -38.47500
0.00781 -40.07813
0.00813 -41.68125
0.00844 -43.28438
0.00875 -44.88750
0.00906 -46.49063
0.00938 -48.09375
0.00969 -49.69688
0.01000 -51.30000
0.10000 -51.30000
0.50000 -51.30000
1.00000 -51.30000
5.00000 -51.30000
10.0000 -51.30000
